Tweets,Subjectivity,Polarity,Analysis
"Apple TV+ has cool shows in , and  Stories, but no buffering for low Internet. _ ? \n\n ",0.475,0.175,Positive
     You think just because someone is gay they contribute n ,0.5833333333333334,0.4166666666666667,Positive
"_ apple\nHope to develop a phone\n\nI  \nMicrosoft phone, Apple phone??\nHope to develop a phone\n\nor\nStop broadc ",0.0,0.0,Neutral
_ \nThe body of a person receiving signals from the brain\n\nSmart phone fingerprint sensor\nconversion\nMini ,0.0,0.0,Neutral
_ How to make a call\nLooks like an intention to hide\n\nMy hobby was decryption of password and mp4 conversio ,0.0,0.0,Neutral
"_ \nA person's head is that person's\n(See Privacy Infringement Crime)\nso\ncall is illegal,\n\nThe phon ",0.0,0.0,Neutral
_ \ncall is illegal\n\nThe phone is\n Infringement of personal information\nSecret leak crime\n\nLeaking p ,0.3,0.0,Neutral
_  \nA person's nerves\n(See cerebral palsy)\nThe body of a person receiving signals from the brain\n ,0.0,0.0,Neutral
_ \nInsect head\nCamera Mounted\nsend and receive\nNerves\nLooking at the writing\nLooking for nerves\nLooks ,0.0,0.0,Neutral
_ \nIn Microsoft account\nFind my note fax\n\nmy House thief\nThief was filmed\n\nFind evidence of my compute ,0.0,0.0,Neutral
Hahah coming this fall...  _  ,0.0,0.0,Neutral
"_ \nI\nyear 2014\nInsect signal reception\nCommunication,\nreception\nInsect ultrasonic signal communication ",0.0,0.0,Neutral
_ \nNeuroparalysis symptoms\n(Medical reference)\n\nHuman brain signal\nHow a person's body works\n\n(Medical reference),0.0,0.0,Neutral
_ \nBlood vessels in the brain\nThe space where blood vessels don cut off\nDoes it come out?\n\nHow many blo ,0.5,0.5,Positive
_ gksrkdls1009.com\nMicrosoft account\n\nMy computer\nX ray\nReference\n\nI do brain CT\nBucheon\nwhich\nUniver ,0.0,0.0,Neutral
" _ IOS 14 does not feel good to use, which type of mobile phone do you have?",0.6000000000000001,0.7,Positive
"Four Big Tech CEOs  Facebook Mark Zuckerberg, Amazon Jeff Bezos, Google's Sundar Pichai and Apple's    ",0.1,0.0,Neutral
"We really need good quality spectacles, _,when can we expect apple glasses? ",0.4,0.44999999999999996,Positive
   is shaking in his boots.,0.0,0.0,Neutral
_  \nYou\nKnow how to call\n \nApple only phone development\n\nIt would be helpful to know how to dial,1.0,0.0,Neutral
  _       The purple is pretty nice.,1.0,0.425,Positive
 _ in iOS 14 could you please fix the issue with Face ID while wearing mask/scarf? If i have to lowe ,0.0,0.0,Neutral
Prof. Scott Galloway has a few questions for Apple  ,0.1,-0.2,Negative
"_  Guys, native iPad weather app would be welcomed so that we can add into iPad OS 14 stacks just like on iPhone iOS!  (",0.0,0.0,Neutral
"Welcome back my beloved Apple Apple\n\n MacBookPro TouchBar\n Thanks , today I was moved.  Professionalism, ",0.525,0.425,Positive
 _ Gr8 \nSo much excited abt to get my Made in India  iPhone  \n  ,0.75,0.375,Positive
 _       That 1st gen ,0.0,0.0,Neutral
"   and Satya Nadella are the only computer science giants I maybe want to listen.. everyone else, I am ",1.0,0.0,Neutral
_ It really should be an entire day off with pay. We know that in this election people will face more obsta ,0.44166666666666665,0.2333333333333333,Positive
"On July 27th, the House Judiciary Committee year-long anti-trust investigation will culminate with public questio ",0.06666666666666667,0.0,Neutral
"Finally got beta 3 to download today, Liking this new OS, Now only if I can change the login wallpaper without usin ",0.8181818181818182,0.04545454545454545,Positive
MY FATTY AND MY TIM COOK SIR...GOOD EVENING/ AFTERNOON ,0.4,-0.2,Negative
"Four Big Tech CEOs  Facebook Mark Zuckerberg, Amazon Jeff Bezos, Google's Sundar Pichai and Apple's    ",0.1,0.0,Neutral
"How to watch Apple, Amazon, Google, Facebook CEOs to testify to Congress - CNET  , Jeff Bezos, Sundar Pich ",0.0,0.0,Neutral
  all you wana know ,0.0,0.0,Neutral
 _       if only ther ,1.0,0.0,Neutral
"US Congress to question heads of tech giants on Wednesday, July 29.  \n\nWill the CEOs be allowed to appear virtual ",0.0,0.0,Neutral
"The hearing is now set for noon ET Wednesday, for the combined tesony from Jeff Bezos, Mark Zuckerberg,   ",0.0,0.0,Neutral
ICC AppleByCelso You all can see _ is not good example to nobody. What more do you need? Even himself confirm. Nobody born evil. ,0.7000000000000001,-0.2833333333333333,Negative
_   AppleXFortnite???? Sooon??????,0.0,0.0,Neutral
    says you need to rest every once in a while ,0.0,0.0,Neutral
"  _ they really fuked me over and didn't even apologize, I stopped dealing with ",0.2,0.2,Positive
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed  via ",0.0,0.0,Neutral
_ I hope that the 0% carbon emissions goal will result in Apple finally embracing the right of consumers to ,0.7678571428571428,0.14285714285714285,Positive
